|position x y:| 430.4204959119571 400.2909103689962 |au jour de la planete| 1
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 430.406984982487 400.5567419430113 |au jour de la planete| 2
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 430.38447121516964 400.8224159504127 |au jour de la planete| 3
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 430.3529612813202 401.08785366625835 |au jour de la planete| 4
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 430.31246451801206 401.3529764356245 |au jour de la planete| 5
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 430.2629929253102 401.6177056969126 |au jour de la planete| 6
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 430.20456116271527 401.88196300512936 |au jour de la planete| 7
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 430.13718654481954 402.1456700551312 |au jour de la planete| 8
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 430.0608890361764 402.4087487048278 |au jour de la planete| 9
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 429.9756912453842 402.6711209983377 |au jour de la planete| 10
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 429.8816184183872 402.9327091890878 |au jour de la planete| 11
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 429.7786984309942 403.19343576285166 |au jour de la planete| 12
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 429.6669617806187 403.45322346071856 |au jour de la planete| 13
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 429.5464415772417 403.711995301987 |au jour de la planete| 14
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 429.4171735336004 403.96967460697545 |au jour de la planete| 15
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 429.2791959546061 404.2261850197449 |au jour de la planete| 16
|distance Terre planete=| 0.0 |10^8 km|
||
|position x y:| 429.13254972599316 404.481450530724 |au jour de la planete| 17
|distance Terre planete=| 0.0 |10^8 km|
